x1,x2
6764.0,0.0
6773.0,0.0
6778.0,0.0
6910.0,0.0
6915.0,0.0
6942.0,0.0
6951.0,0.0
6960.0,0.0
6969.0,0.0
6982.0,0.0
6996.0,0.0
7005.0,0.0
7018.0,0.0
7022.0,0.0
7030.0,0.0
7044.0,0.0
7048.0,0.0
7061.0,0.0
7066.0,0.0
7084.0,0.0
7095.0,0.0
7099.0,0.0
7109.0,0.0
7114.0,0.0
7127.0,0.0
7132.0,0.0
7145.0,0.0
7150.0,0.0
7163.0,0.0
7168.0,0.0
7217.0,0.0
7240.0,0.0
7304.0,0.0
7363.0,0.0
7368.0,0.0
7390.0,0.0
7399.0,0.0
7408.0,0.0
7417.0,0.0
7422.0,0.0
7431.0,0.0
7444.0,0.0
7453.0,0.0
7458.0,0.0
7467.0,0.0
7479.0,0.0
7484.0,0.0
7496.0,0.0
7501.0,0.0
7514.0,0.0
7519.0,0.0
7532.0,0.0
7537.0,0.0
7548.0,0.0
7562.0,0.0
7580.0,0.0
7585.0,0.0
7598.0,0.0
7603.0,0.0
7616.0,0.0
7634.0,0.0
7702.0,0.0
7748.0,0.0
7761.0,0.0
7816.0,0.0
7821.0,0.0
7857.0,0.0
7870.0,0.0
7879.0,0.0
7906.0,0.0
7915.0,0.0
7920.0,0.0
7929.0,0.0
7941.0,0.0
7967.0,0.0
7972.0,0.0
7985.0,0.0
7990.0,0.0
8001.0,0.0
8005.0,0.0
8011.0,0.0
8020.0,0.0
8029.0,0.0
8038.0,0.0
8051.0,0.0
8056.0,0.0
8069.0,0.0
8074.0,0.0
8083.0,0.0
8164.0,0.0
8205.0,0.0
8269.0,0.0
8274.0,0.0
8283.0,0.0
8292.0,0.0
8305.0,0.0
8310.0,0.0
8319.0,0.0
8328.0,0.0
8337.0,0.0
8346.0,0.0
8355.0,0.0
8368.0,0.0
8377.0,0.0
8382.0,0.0
8390.0,0.0
8399.0,0.0
8407.0,0.0
8416.0,0.0
8425.0,0.0
8438.0,0.0
8443.0,0.0
8454.0,0.0
8468.0,0.0
8477.0,0.0
8486.0,0.0
8495.0,0.0
8504.0,0.0
8522.0,0.0
8540.0,0.0
8549.0,0.0
8626.0,0.0
8709.0,0.0
8722.0,0.0
8731.0,0.0
8740.0,0.0
8758.0,0.0
8767.0,0.0
8776.0,0.0
8785.0,0.0
8794.0,0.0
8803.0,0.0
8830.0,0.0
8835.0,0.0
8847.0,0.0
8856.0,0.0
8873.0,0.0
8882.0,0.0
8891.0,0.0
8896.0,0.0
8907.0,0.0
8911.0,0.0
8917.0,0.0
8926.0,0.0
8935.0,0.0
8944.0,0.0
8962.0,0.0
8971.0,0.0
8980.0,0.0
8988.0,0.0
9001.0,0.0
9088.0,0.0
9157.0,0.0
9283.0,0.0
9288.0,0.0
9295.0,0.0
9304.0,0.0
9313.0,0.0
9322.0,0.0
9331.0,0.0
9340.0,0.0
9349.0,0.0
9360.0,0.0
9364.0,0.0
9374.0,0.0
9383.0,0.0
9392.0,0.0
9401.0,0.0
9410.0,0.0
9415.0,0.0
9428.0,0.0
9437.0,0.0
9446.0,0.0
9550.0,0.0
9614.0,0.0
9623.0,0.0
9651.0,0.0
